name,price,rating,review_count,cuisine,address,display_phone,comments
Al Horno Lean Mexican Kitchen,2,3.0,65.0,['mexican'],"110 Pearl St, Financial District, NY 10005",(212) 480-8500,N/A
Al Horno Lean Mexican Kitchen,2,3.5,42.0,['mexican'],"57 1st Ave, SoHo, NY 10003",(646) 609-3762,N/A
Al Horno Lean Mexican Kitchen,2,3.5,252.0,['mexican'],"417 W 47th St, Garment District, NY 10036",(212) 977-1000,N/A
Empellón Al Pastor Murray Hill,2,3.5,59.0,"['mexican', 'bars', 'newmexican']","145 E 39th St, Midtown East, NY 10016",(212) 865-5800,N/A
Alachi Masala,2,4.0,216.0,"['indian', 'indpak', 'gluten_free', 'vegan']","488 Amsterdam Ave, Upper West Side, NY 10024",(212) 874-0737,N/A
Grill Point 181,1,4.0,74.0,"['other', 'mediterranean', 'mideastern']","736 W 181st St, Harlem, NY 10033",(212) 256-0701,N/A
Alcala Restaurant,3,4.0,132.0,"['spanish', 'basque']","246 E 44th St, Midtown East, NY 10017",(212) 370-1866,N/A
Alfie's,2,4.0,520.0,"['irish', 'newamerican', 'gastropubs', 'beer_and_wine']","800 9th Ave, Midtown West, NY 10019",(212) 757-2390,N/A
Ali Baba's Turkish Cuisine,2,3.0,277.0,"['turkish', 'mediterranean', 'kebab']","862 2nd Ave, Midtown East, NY 10017",(212) 888-8622,N/A
Alice's Tea Cup,2,4.0,1000.0,"['american', 'breakfast_brunch', 'tea', 'tradamerican']","102 W 73rd St, Upper West Side, NY 10023",(212) 799-3006,N/A
Allora Ristorante,3,4.5,588.0,"['italian', 'bars']","145 E 47th St, Midtown West, NY 10017",(212) 754-9800,N/A
Almond,2,4.0,1000.0,"['french', 'newamerican']","12 E 22nd St, Gramercy, NY 10010",(212) 228-7557,N/A
Alphonso's Pizzeria & Trattoria,1,3.5,123.0,"['italian', 'pizza']","525 Grand St, Lower East Side, NY 10002",(212) 477-3367,N/A
Alta,3,4.0,1000.0,"['american', 'tapas', 'mediterranean', 'spanish']","64 W 10th St, Midtown West, NY 10011",(212) 505-7777,N/A
Altesi Downtown,2,4.0,74.0,['italian'],"200 Spring St, Greenwich Village, NY 10012",(212) 431-1212,N/A
Altus Cafe,2,3.0,158.0,"['latin', 'steak']","4325 Broadway, Harlem, NY 10033",(212) 928-1367,N/A
Amano Sushi,2,4.0,53.0,"['japanese', 'sushi', 'salad']","50 Eldridge St, Little Italy, NY 10002",(212) 301-0723,N/A
Amaranth Restaurant,3,3.0,92.0,"['french', 'mediterranean']","21 E 62nd St, Upper East Side, NY 10021",(212) 980-6700,N/A
Amarone NY,2,4.0,317.0,"['italian', 'seafood']","686 9th Ave, Midtown West, NY 10036",(212) 245-6060,N/A
Amata,3,4.5,83.0,['italian'],"209 E 56th St, Midtown East, NY 10022",(212) 308-0830,N/A
Amaze,2,3.0,266.0,"['asian', 'lounges', 'asianfusion', 'pubs']","694 3rd Ave, Midtown East, NY 10017",(212) 986-5555,N/A
Amazing 66,2,3.5,281.0,"['chinese', 'cantonese']","66 Mott St, Little Italy, NY 10013",(212) 334-0099,N/A
Amber,2,4.0,110.0,"['chinese/japanese', 'japanese', 'sushi', 'asianfusion']","103 W 70th St, East Harlem, NY 10023",(212) 799-8122,N/A
Flame Hibachi,2,4.0,138.0,"['japanese', 'dimsum', 'teppanyaki']","381 3rd Ave, Gramercy, NY 10016",(917) 265-8772,N/A
Ambo,2,4.0,122.0,"['indian', 'indpak', 'gluten_free', 'salad']","224 W 35th St, Garment District, NY 10001",(646) 476-4214,N/A
Amélie,2,4.5,1000.0,"['french', 'wine_bars']","22 W 8th St, Midtown West, NY 10011",(212) 533-2962,N/A
American Trash,1,3.5,109.0,"['american', 'sportsbars', 'pubs', 'hotdog']","1471 1st Ave, Upper East Side, NY 10021",(212) 988-9008,N/A
American Cut Steakhouse Tribeca,4,4.0,586.0,"['steak', 'newamerican', 'venues']","363 Greenwich St, Tribeca, NY 10013",(212) 226-4736,N/A
American Retro,2,4.0,208.0,"['american', 'newamerican']","714 11th Ave, Midtown West, NY 10019",(212) 245-2203,N/A
American Whiskey,2,3.5,325.0,"['american', 'newamerican', 'cocktailbars', 'sportsbars']","247 W 30th St, Garment District, NY 10001",(212) 967-1070,N/A
American Wing Company,2,4.0,24.0,"['chicken', 'chicken_wings']","159 E 116th St, East Harlem, NY 10029",(646) 370-6640,N/A
Amity Hall,2,3.5,408.0,"['american', 'sportsbars', 'newamerican', 'gastropubs']","80 W 3rd St, Greenwich Village, NY 10012",(212) 677-2290,N/A
Amity Hall Uptown,2,4.0,192.0,"['american', 'tradamerican', 'burgers', 'pubs']","982 Amsterdam Ave, East Harlem, NY 10025",(646) 930-2501,N/A
Amma,3,4.0,510.0,"['indian', 'indpak']","246 E 51st St, Midtown East, NY 10022",(212) 644-8330,N/A
Ammos Estiatorio,3,3.0,267.0,"['greek', 'seafood']","52 Vanderbilt Ave, Midtown East, NY 10017",(212) 922-9999,N/A
Amor Cubano,2,4.0,492.0,"['latin', 'cuban']","2018 3rd Ave, Midtown West, NY 10029",(212) 996-1220,N/A
Ampersand,2,4.5,214.0,"['american', 'cocktailbars', 'newamerican']","294 3rd Ave, Midtown West, NY 10010",(212) 477-8100,N/A
Amsterdam Ale House,2,3.0,370.0,"['american', 'pubs', 'newamerican']","340 Amsterdam Ave, Upper West Side, NY 10024",(212) 362-7260,N/A
Amura Japanese,2,4.0,319.0,"['japanese', 'sushi']","1567 2nd Ave, Upper East Side, NY 10028",(212) 772-1688,N/A
Amuse Bouche Bistro,2,5.0,4.0,"['café/coffee/tea', 'breakfast_brunch', 'french']","1590 Park Ave, East Harlem, NY 10029",(917) 710-3111,N/A
Amy Ruth's,2,4.0,1000.0,"['soul_food', 'southern', 'soulfood']","113 W 116th St, East Harlem, NY 10026",(212) 280-8779,N/A
An'Nam,2,4.0,295.0,"['vietnamese/cambodian/malaysia', 'vietnamese', 'sushi', 'thai']","234 W 48th St, Midtown West, NY 10036",(212) 247-8318,N/A
Anand Indian Cuisine,2,4.0,132.0,"['indian', 'indpak']","304 E 78th St, Upper East Side, NY 10075",(212) 650-0333,N/A
Ananda,2,4.0,300.0,"['indian', 'indpak', 'vegetarian', 'kosher']","210 Thompson St, Greenwich Village, NY 10012",(212) 533-7290,N/A
Anassa Taverna NYC,3,3.5,306.0,"['american', 'greek', 'seafood', 'mediterranean']","200 E 60th St, East Harlem, NY 10022",(212) 371-5200,N/A
Farah Anatolia,2,3.5,194.0,"['mediterranean', 'turkish', 'halal']","401 E 62nd St, Upper East Side, NY 10065",(212) 223-7500,N/A
Anchor Wine Bar,2,4.0,284.0,"['italian', 'wine_bars']","3508 Broadway, East Harlem, NY 10031",(212) 234-3084,N/A
Andaman Thai Bistro,2,4.0,149.0,['thai'],"1843 1st Ave, East Harlem, NY 10128",(212) 722-5671,N/A
Andy's Restaurant,1,4.0,26.0,"['latin', 'tradamerican']","2262 3rd Ave, East Harlem, NY 10035",(212) 860-2614,N/A
Anejo,2,3.5,682.0,"['mexican', 'tapasmallplates']","668 10th Ave, Midtown West, NY 10036",(212) 920-4770,N/A
Anejo Tribeca,2,4.0,402.0,"['mexican', 'tapasmallplates', 'tapas']","301 Church St, Greenwich Village, NY 10013",(212) 920-6270,N/A
Angaar,2,4.5,102.0,"['indian', 'indpak']","283 Columbus Ave, East Harlem, NY 10023",(212) 393-4040,N/A
Angela's Sandwich Shop,1,4.0,216.0,"['delicatessen', 'delis', 'diners']","1428 6th Ave, Midtown West, NY 10019",(212) 759-5344,N/A
Angeletto Restaurant,2,4.5,208.0,['italian'],"890 2nd Ave, Midtown West, NY 10017",(212) 235-1227,N/A
Angelika Film Center & Café - New York,2,3.5,474.0,"['american', 'movietheaters', 'cafes']","18 W. Houston St., SoHo, NY 10012",(212) 995-2570,N/A
Angelo's Pizza,2,3.5,495.0,"['pizza', 'italian']","1697 Broadway, Midtown West, NY 10019",(212) 245-8811,N/A
Angelo's Coal Oven Pizzeria,2,4.0,884.0,"['pizza', 'italian']","117 W 57th St, Midtown West, NY 10019",(212) 333-4333,N/A
Anjappar Chettinad Restaurant,2,3.0,310.0,"['indian', 'indpak']","116 Lexington Ave, Gramercy, NY 10016",(212) 265-3663,N/A
Annie Moore's Bar & Restaurant,2,4.0,97.0,"['american', 'tradamerican', 'irish_pubs']","22 E 41st St, Midtown East, NY 10017",(212) 986-7826,N/A
Anpanman Bakery Cafe,1,4.0,32.0,"['chinese', 'bakeries']","83 Canal St, Little Italy, NY 10002",(212) 343-8077,N/A
Antica Ristorante,2,3.5,47.0,"['american', 'italian']","370 Canal St, SoHo, NY 10013",(646) 439-2460,N/A
Antica Ristorante,3,4.5,500.0,['italian'],"8 Stone St, Chinatown, NY 10004",(212) 480-3880,N/A
Antique Garage Soho,2,3.5,415.0,"['mediterranean', 'lounges', 'turkish']","41 Mercer St, Little Italy, NY 10013",(212) 219-1019,N/A
Antique Garage Tribeca,3,4.0,100.0,"['turkish', 'mediterranean']","313 Church St, Chinatown, NY 10013",(212) 226-0066,N/A
Antojitos Mexicanos,1,4.0,20.0,"['spanish', 'mexican']","511 West 181st St, Harlem, NY 10033",(212) 568-8800,N/A
Antonucci Cafe,3,4.0,141.0,"['italian', 'cafes']","170 E 81st St, Upper East Side, NY 10028",(212) 570-5100,N/A
Anytime,2,4.5,1000.0,"['korean', 'newamerican', 'tapasmallplates']","23 W 32nd St, Midtown West, NY 10001",(646) 669-7733,N/A
Anyway Cafe,2,4.0,226.0,['russian'],"32 E 2nd St, Greenwich Village, NY 10003",(212) 533-3412,N/A
AOC East,2,4.0,138.0,"['french', 'wine_bars', 'seafood']","1590 First Ave, East Harlem, NY 10028",(646) 998-5749,N/A
Palma,3,4.0,717.0,"['american', 'italian']","28 Cornelia St, Midtown West, NY 10014",(212) 691-2223,N/A
Applebee's Grill + Bar,2,2.0,479.0,"['american', 'tradamerican', 'burgers', 'sportsbars']","234 W 42nd St, Garment District, NY 10036",(212) 391-7414,N/A
Applebee's Grill + Bar,2,2.5,140.0,"['american', 'sportsbars', 'burgers', 'tradamerican']","509 East 117th St, East Harlem, NY 10035",(646) 896-2700,N/A
Aquavit,4,4.0,747.0,['scandinavian'],"65 E 55th St, Upper East Side, NY 10022",(212) 307-7311,N/A
Arabesque,2,3.5,410.0,"['mediterranean', 'moroccan', 'hookah_bars']","4 E 36th St, Midtown East, NY 10016",(212) 532-2210,N/A
Arby's,1,3.0,96.0,"['sandwiches', 'hotdogs']","611 8th Ave, Garment District, NY 10018",(212) 273-0850,N/A
Archer & Goat,2,4.5,93.0,"['american', 'newamerican', 'cocktailbars', 'breakfast_brunch']","187 Lenox Ave, East Harlem, NY 10026",(917) 261-6602,N/A
Arco Cafe,2,4.5,262.0,"['italian', 'mediterranean', 'seafood']","886 Amsterdam Ave, East Harlem, NY 10025",(646) 781-9080,N/A
Ardesia Wine Bar,2,4.0,364.0,"['american', 'wine_bars', 'tapasmallplates', 'cocktailbars']","510 W 52nd St, Midtown West, NY 10019",(212) 247-9191,N/A
Areppas,1,3.5,173.0,"['latin', 'vegan', 'gluten_free']","954 3rd Ave, Midtown East, NY 10022",(212) 355-3656,N/A
Areppas Soho,2,3.5,31.0,"['latin', 'gluten_free', 'empanadas']","25 Cleveland Pl, Little Italy, NY 10012",(646) 918-6823,N/A
Aria Wine Bar,3,3.5,408.0,"['italian', 'wine_bars']","369 51st St, Midtown West, NY 10019",(212) 541-9241,N/A
Ariana Afghan Kebab Restaurant,2,4.0,486.0,"['afghan', 'afghani', 'halal', 'kebab']","787 9th Ave, Midtown West, NY 10019",(212) 262-2323,N/A
Harold's,2,3.5,147.0,"['american', 'breakfast_brunch', 'tradamerican']","2 Renwick St, SoHo, NY 10013",(212) 390-8484,N/A
Armani Ristorante,3,4.0,234.0,['italian'],"717 5th Ave, Midtown East, NY 10022",(212) 207-1902,N/A
Armonie,2,4.0,107.0,"['italian', 'pizza', 'hotdogs']","1649 Park Ave, East Harlem, NY 10035",(212) 722-6400,N/A
Arno Ristorante,3,3.5,216.0,"['italian', 'wine_bars']","141 W 38th St, Midtown West, NY 10018",(212) 944-7420,N/A
Aroma Trattoria,2,4.5,60.0,"['italian', 'wine_bars', 'pastashops']","932 8th Ave, Midtown West, NY 10019",(212) 781-3008,N/A
aRoqa,2,4.0,281.0,"['indian', 'indpak', 'bars', 'tapasmallplates']","206 9th Ave, Midtown West, NY 10011",(646) 678-5471,N/A
Aroy Dee Thai Kitchen,2,3.5,399.0,['thai'],"20 John St, Financial District, NY 10038",(212) 528-9922,N/A
New Ah Ping Snacketeria,1,4.0,13.0,['chinese'],"45 Division St, Chinatown, NY 10002",(212) 966-6688,N/A
New Arping Restaurant,2,5.0,5.0,['chinese'],"45 Division St, Chinatown, NY 10002",(212) 966-6688,N/A
Arriba Arriba Midtown,2,3.5,895.0,"['mexican', 'tacos', 'tex-mex', 'newmexican']","762 9th Ave, Midtown West, NY 10019",(212) 489-0810,N/A
Arte Cafe,2,3.0,587.0,"['italian', 'burgers', 'wine_bars']","106 W 73rd St, Upper West Side, NY 10023",(212) 501-7014,N/A
Arte Cafe,2,4.0,80.0,"['italian', 'wine_bars', 'pizza']","191 7th Ave, Gramercy, NY 10011",(646) 858-3300,N/A
Arte Restaurant,3,3.5,95.0,"['italian', 'seafood', 'cocktailbars']","21 E 9th St, Greenwich Village, NY 10003",(212) 473-0077,N/A
Artichoke Basille's Pizza,1,4.0,1000.0,['pizza'],"321 E 14th St, Greenwich Village, NY 10003",(212) 228-2004,N/A
Artichoke Basille’s Pizza,2,3.0,14.0,['pizza'],"1410 Broadway, Midtown West, NY 10018",(212) 600-8635,N/A
Artichoke Basille's Pizza,2,3.5,1000.0,"['pizza/italian', 'italian', 'pizza']","114 10th Ave, Upper West Side, NY 10011",(212) 792-9200,N/A
Artichoke Basille's Pizza,1,3.5,888.0,['pizza'],"111 MacDougal St, Greenwich Village, NY 10012",(646) 278-6100,N/A
Artistic Pizza,2,4.5,51.0,"['pizza', 'vegan', 'gluten_free']","123 W 3rd St, Greenwich Village, NY 10012",(917) 261-5435,N/A
Bar Veloce,2,3.5,17.0,"['pizza', 'wine_bars', 'italian', 'beerbar']","862 9th Ave, Hells Kitchen, NY 10019",(917) 261-5435,N/A
The New York Basics,1,3.5,22.0,"['mediterranean', 'cafes', 'breakfast_brunch']","1090 Amsterdam Ave, Morningside Heights, NY 10025",(212) 666-3744,N/A
Arturo's,2,4.0,682.0,"['italian', 'pizza']","106 W Houston St, Greenwich Village, NY 10012",(212) 677-3820,N/A
Arturo's,3,4.0,69.0,['italian'],"1617 York Ave, Upper East Side, NY 10028",(212) 535-4480,N/A
As Is NYC,2,4.0,212.0,"['american', 'beerbar', 'newamerican']","734 10th Ave, Midtown West, NY 10019",(646) 858-1153,N/A
Ashoka Indian Restaurant,2,4.5,246.0,"['indian', 'indpak']","489 Columbus Ave, East Harlem, NY 10024",(212) 875-1400,N/A
Ashoka on 2nd Avenue,2,4.5,144.0,"['indian', 'indpak']","1718 2nd Ave, East Harlem, NY 10128",(212) 876-9100,N/A
Asiam Thai Cuisine,2,3.5,210.0,['thai'],"259 1st Ave, Gramercy, NY 10003",(212) 228-7880,N/A
Asian Taste,2,4.0,15.0,"['asian', 'chinese']","199 E 3rd St, East Village, NY 10009",(646) 596-9595,N/A
ASSET,1,4.0,60.0,"['other', 'newamerican', 'breakfast_brunch', 'cocktailbars']","329 Columbus Ave, Harlem, NY 10023",(212) 517-1987,N/A
Asuka Sushi,2,4.0,951.0,"['japanese', 'thai', 'cocktailbars']","300 W 23rd St, Garment District, NY 10011",(212) 727-0888,N/A
At Nine Restaurant & Bar,2,4.0,487.0,"['thai', 'bars']","592 9th Ave, Midtown West, NY 10036",(212) 265-4499,N/A
Atami Japanese Fusion,2,4.0,141.0,"['japanese', 'sushi', 'asianfusion']","1167 2nd Ave, Upper East Side, NY 10065",(212) 688-6868,N/A
Atera,4,4.5,259.0,"['american', 'newamerican']","77 Worth St, Chinatown, NY 10013",(212) 226-1444,N/A
Atlantic Grill,3,3.5,581.0,"['american', 'newamerican', 'seafood', 'sushi']","49 W 64th St, Upper West Side, NY 10023",(212) 787-4663,N/A
Atlas Kitchen,2,4.0,113.0,['chinese'],"258 W 109th St, East Harlem, NY 10025",(646) 928-0522,N/A
Atoboy,3,4.5,364.0,"['asian', 'korean', 'tapasmallplates', 'asianfusion']","43 E 28th St, Midtown West, NY 10016",(646) 476-7217,N/A
