Name,Type,Rating,No of Reviews,Comments,Contact Number,Price,Address
Bareburger," American, Vegetarian Friendly, Vegan Options",4.0,138.0,"We ordered from this location 
And I'll say excellent burgers.  
Good size..  Very tasty
But very pricey",+1 718-275-2273,2.5,"7149 Austin St, Forest Hills, NY 11375-4728"
Jack's Oyster House," American, Seafood, Gluten Free Options",4.0,516.0,This restaurant feels like you are walking into the past in a good way. Greeted by a gentleman who was polite and very organized. Our waiter never stopped moving was very polite. He was good about all of our requests. We even had to make...More,+1 518-465-8854,4.0,"42-44 State Street, Albany, NY 12207-2804"
Yono's Restaurant," Indonesian, American, Vegetarian Friendly",4.5,282.0,We’ve been in this nice and classy place for dinner with my husband and we remain very satisfied of our four corses menu! Every plate was delicious and service was awesome) The chief was attentive to every guest! Recommended!,+1 518-436-7747,4.0,"25 Chapel St, Albany, NY 12210-2733"
Pizza Port," Pizza, Italian",4.0,47.0,"Deliver to hotels in area. Used them when we stayed at Holiday Inn Express Kennedy Airport. I ordered sausage parmigiana with a nice side salad. My spouse had a baked manicotti dish. Delivery did take an hour, but the dishes were still hot when delivered...More",+1 718-843-9186,1.0,"13517 Lefferts Blvd, South Ozone Park, NY 11420-3601"
Henry Street Taproom," American, Bar, Pub",4.5,161.0,We stopped in as it looked so cozy with real wood burning fireplaces . The menu had some unique items and many beers to choose from. Our waiter Dave suggested the beer and was exactly what my husband liked. Then he asked me what I...More,+1 518-886-8938,2.5,"86 Henry St, Saratoga Springs, NY 12866-3218"
Murray's Cheese," Deli, Vegetarian Friendly",4.5,258.0,"Murray's Cheeses on Bleecker St NYC is the MECCA for cheese lovers. They have a HUGE variety of cheeses; they even allow taste testing of any cheese you want. But they not only have cheese, they have wine, crackers, and various other items that you...More",+1 212-243-3289,2.5,"254 Bleecker St, New York City, NY 10014-4101"
Ciao Wood-Fired Pizza & Pasta," Italian, Pizza, Vegan Options",4.0,404.0,"This is your typical American-Italian eatery in that the cuisine is really more American's idea of what Italian food should be like, rather than authentic Italian.

If find most of the dishes pretty blah, although I do appreciate that they use a more flavorful cheese...More",+1 607-257-2233,2.5,"2 Hickory Hollow Ln, Ithaca, NY 14850-1015"
La Cucina Di Mamma," Italian, Vegetarian Friendly, Vegan Options",4.5,545.0,"When with my daughters and nefew. 
Great food!
Great service!
Great prices!
All home cooked meals.
Friendly waiter.
Small and quaint atmosphere.",+1 716-284-9778,2.5,"795 Rainbow Blvd, Niagara Falls, NY 14303-1313"
30 Lake," American, Seafood, Vegetarian Friendly",4.5,182.0,"This is one of the restaurants high on our list when we moved to the area in 2018, but hadn’t gotten there until tonight.  I read a recent pretty favorable review in the Times Union so the multiple changes in ownership and chef didn’t phase...More",+1 518-539-3474,2.5,"30 Lake Avenue, Saratoga Springs, NY 12866"
Denino's Pizzeria & Tavern," Italian, Pizza, Vegetarian Friendly",4.5,805.0,"Good pizza great wings and fried calamari 
They use semolina and it always burns on the bottom of the pizza but otherwise a pretty good pie",+1 718-442-9401,2.5,"524 Port Richmond Ave, Staten Island, NY 10302-1721"
Mother's Cupboard Fish Fry," American, Diner",4.5,141.0,"Small little building with some shared tables and a very friendly staff.   Food is amazing and portions are huge.   The Frittata is huge and they have a 6 pound challenge.  Great food, cheap eats.  We try to go there every time we are in Syracuse.",+1 315-432-0942,1.0,"3709 James St, Syracuse, NY 13206-2525"
Katie O'Byrnes Restaurant," Irish, Bar, Pub",4.0,206.0,The place reminded me of an Irish pub I visited in Dublin.  I had the reuben which was OUT OF THIS WORLD!  It was loaded with meat and the rye was perfect.  The only thing lacking for me was the dill pickle.,+1 518-395-5999,2.5,"121 Wall St, Schenectady, NY 12305-1914"
Asian Jewels Seafood Restaurant," Chinese, Asian, Seafood",4.0,119.0,"Would give 4.5 if I could! We came here on a recent Sunday for dim sum. We parked down the street not knowing there was a small parking lot next to the restaurant, but the restaurant lot was full as we walked by. We arrived...More",+1 718-359-8600,2.5,"13330 39th Ave, Flushing, NY 11354-4433"
Bahari Estiatorio," Mediterranean, Greek, Vegetarian Friendly",4.5,224.0,"Experienced terrible service at this place. Came on a Sunday for lunch with my family and after we were taken to our table, no one ever came to service. All the waiters were gathered together watching a soccer game on a cell phone by a...More",+1 718-204-8968,2.5,"3114 Broadway, Astoria, NY 11106-2585"
Los Tacos No. 1," Mexican, Latin, Central American",4.5,515.0,This place is a must if your a taco fan.  I think it’s the best place to satisfy a Mexican craving.  It’s worth the wait as it will please your tastebuds and you will be back for more. Price wise I think it’s great value...More,+1 212-574-4696,1.0,"229 W 43rd St, New York City, NY 10036-3982"
Longfellows," American, Bar, Pub",4.5,317.0,"Wait staff was marvelous!---However dinner left a lot to be desired-----food was apparently just piled on plate----dinner was $ but had none of the extras, salad rolls.
Cannot say this is a place I would return to",+1 518-587-0108,2.5,"500 Union Ave, Saratoga Springs, NY 12866-6426"
River Station Restaurant," American, Bar, Seafood",3.5,239.0,We were out for a drive and we were in Poughkeepsie so we decided on River Station. We usually go in warm weather so we can sit outside but we love their chowders so we figured we’d give it a winter try. Turned out to...More,+1 845-452-9207,2.5,"1 North Water Street, Poughkeepsie, NY 12601"
Mikes Pizza," Italian, Pizza, Fast Food",4.0,210.0,"Good Pizza, good Burgers, good prices! 
We had a stay next to Mike's Pizza and it was perfect to have this place next to us.",+1 718-482-7572,1.0,"3937 30th St, Long Island City, NY 11101-2805"
Triangle Diner," American, Diner, Vegetarian Friendly",4.5,354.0,"The Triangle Diner is the place to go for breakfast if you are anywhere near Saratoga Springs, NY. The servings are plentiful, the menu diverse and the food is simply delicious! From French toast and pancakes and biscuits and sausage gravy, to corned beef hash,...More",+1 518-583-6368,1.0,"400 Maple Ave, Saratoga Springs, NY 12866-5527"
15 Church Restaurant," American, Vegetarian Friendly, Vegan Options",4.5,821.0,"My husband and I absolutely love the food, the atmosphere and the staff! The food is hands down the BEST that we have ever had! We highly recommend.",+1 518-587-1515,4.0,"15 Church St, Saratoga Springs, NY 12866-2108"
Maison Premiere," Seafood, Gluten Free Options",4.5,332.0,"Not a cheap place at all - beware! However, totally worth every penny. Food is amazing and service is also very good. Feeling like oysters in NY? Just go there. Wil not regret it.",+1 347-335-0446,2.5,"298 Bedford Ave, Brooklyn, NY 11249-4205"
The Buffet," Chinese, Sushi, Asian",4.0,56.0,"First time for lunch here, I was anxious to find out the difference between lunch and dinner menu. The standard cooked items are pretty similar. The sushi and seafood selection selection is a lot less in lunch. There is no Peking duck wrap and the...More",+1 718-886-3722,2.5,"2007 127th St, Flushing, NY 11356-2321"
Texas Roadhouse Restaurant," American, Steakhouse",4.0,104.0,"This was our first visit to this chain. It was definitely not our last.
The employees were all great. They were friendly and efficient.
The food was excellent.
I would highly recommend it.",+1 845-433-0337,2.5,"2323 South Rd, Poughkeepsie, NY 12601-5584"
Dumpling Galaxy," Chinese, Asian, Vegetarian Friendly",4.0,42.0,I love Asian dumplings and this place did not disappoint. Located in the back of an Asian inspired mall on Main Street made for an adventure finding this restaurant decorated in a welcoming Oriental Motif. Romantic for a first date and subsequent date nights. The...More,+1 718-461-0808,2.5,"4235 Main St, Flushing, NY 11355-3956"
Up Thai restaurant," Asian, Thai, Vegetarian Friendly",4.5,351.0,Just found this little gem in New york. What a find food was fantastic and service was amazing. My friend and I had the $11 lunch special which was more than enough food . I had my favorite green thai curry and absolutely loved it....More,+1 212-256-1188,2.5,"1411 2nd Ave, New York City, NY 10021-3771"
Nick's Pizza," Italian, Pizza, Vegetarian Friendly",4.0,148.0,"No matter who I introduce to Nick’s Pizza, they always want to go back for more! Excellent salads and calzones, too! My favorite pizza in FH.  Thin crust, fresh mozzarella, and excellent sauce. Great options for toppings, too.More",+1 718-263-1126,2.5,"10826 Ascan Ave, Forest Hills, NY 11375-5373"
Paula's Public House," American, Gastropub, Pub",4.5,53.0,"Quiet night after the recent ""big snow"". Good bartender stayed on top of everything. Friendly (but small) crowd. Nice wines by the glass. Burger and a roast pork sandwich were prepared to order and very good. I'll return when there are more people to comment...More",+1 845-454-7821,2.5,"2186 New Hackensack Rd, Poughkeepsie, NY 12603-4846"
Carriage House Cafe," American, Bar, Cafe",4.0,178.0,"Great brunch spot that has been around for a long time right next to Cornell University.  Try making a reservation or prepared to wait during weekend brunches.  Very good espressos upstairs while you wait.  Good bloody Marys as well,.",+1 607-645-0152,2.5,"305 Stewart Ave, Ithaca, NY 14850-4517"
Atera," Vegetarian Friendly, Gluten Free Options",4.5,194.0,"Atera is indeed a Michelin grade restaurant, no doubt about that.  But the atmosphere left a lot to be desired.  With the exception of the younger gentleman mostly in charge of the alcohol, the male crew exudes a level of PTSD that is beyond my...More",+1 212-226-1444,4.0,"77 Worth St, New York City, NY 10013-3411"
Power City Eatery," American, Cafe, Deli",4.5,72.0,"Terrific sandwich -- everything was fresh and homemade -- nothing out of a jar, here.  Very friendly staff and interesting decor.  I'm so glad I ventured into the falls to try this out.  It's really worth a stop.",+1 716-299-0124,2.5,"444 3rd Street, Niagara Falls, NY 14301-1506"
Bean's & Lager," American, Steakhouse, Bar",5.0,12.0,Nothing Special. Visiting from out of town and did a review search for local restaurants. Burgers were good but service was lousy. Made an open table reservation during non busy times and expected much better service. Non attentive servers who couldn’t even remember who ordered...More,+1 718-392-5777,2.5,"3301 36th Ave, Long Island City, NY 11106-1941"
Carlos Restaurant," Italian, Pizza, Vegetarian Friendly",4.0,123.0,"Great food, excellent service. Two level restaurant, pizzeria, parking in back. Easy to get to from highways.",+1 914-793-1458,2.5,"668 Tuckahoe Rd, Yonkers, NY 10710-5705"
Giuliana’s Ristorante," Italian, Vegetarian Friendly, Vegan Options",4.5,274.0,I came here on a Saturday night with my girlfriend and another couple and I must say the food was great the atmosphere was amazing my waiter nick was so nice and was very helpful with questions that we had about the menu I highly...More,+1 718-317-8507,2.5,"4105 Hylan Blvd, Staten Island, NY 10308-3308"
"Little Sheep Mongolian Hot Pot, Flushing"," Asian, Mongolian, Chinese",4.5,59.0,The food is great and the service is even better. We like the place a lot and want to go back next day but it needs 2 hours waiting time since a very cold night. Too bad we can’t do it. Another good one is...More,+1 718-762-8881,2.5,"13659 37th Ave, Flushing, NY 11354-4110"
Jackson Hole," Greek, American, Vegetarian Friendly",4.5,167.0,Wow one the best burgers in the world with a variety of food to chose from the menu plus the shakes are to die for.,+1 718-204-7070,2.5,"69_35 Astoria Boulevard, East Elmhurst, NY 11370"
Enzo's Of Arthur Avenue," Italian, Vegetarian Friendly, Vegan Options",4.5,370.0,Excellent food and service meatballs appetizer is my favorite the steak was excellent large wine selection chicken parmigiana with spaghetti in garlic and oil is recommended,+1 718-733-4455,2.5,"2339 Arthur Ave, Bronx, NY 10458-8110"
The Pool Bar," Bar, Pub",4.5,25.0,"We checked out the pool area during our stay, we didn't have a drink a we had been to Connie and Paris cafe. Although it was February and freezing the pool was open.",Not Available,2.5,"TWA Hotel JFK Airport, Jamaica, NY 11430"
Lolita's Pizza," Italian, Pizza, Vegetarian Friendly",4.5,30.0,"A great visit with good cocktails and excellent food. 
Sopresatta pizza, Wild Mushroom pizza, and the incredible Kale salad led the way for the evening.",+1 845-452-8100,2.5,"129 Washington St, Poughkeepsie, NY 12601-1813"
The Western Door," American, Steakhouse, Gluten Free Options",4.0,287.0,We were celebrating a belated Valintine's to avoid the crowds and enjoy a leisurely  dinner.We had eaten there twice before and the meals have been inconsistent. This time everything was exceptional. Our servers were attentive but not intrusive. Steve and Jimmie were professional and personable.My...More,+1 716-299-1100,4.0,"310 4th St, Niagara Falls, NY 14303-1242"
LongHorn Steakhouse," American, Steakhouse, Gluten Free Options",4.0,180.0,We were given a beeper upon arrival. One hour later when I checked with the hostess she said that they had called us earlier and that the beepers had not been working all weekend.  I asked why we had been given one and why we...More,+1 716-297-0347,2.5,"1861 Military Rd, Niagara Falls, NY 14304-1724"
Full Moon Pizzeria & Restaurant," Italian, Pizza, Vegetarian Friendly",4.5,239.0,the only pizzeria my grandkids like to eat from ...in the heart of little Italy in the bronx..been going to the pizzeria for years,+1 718-584-3451,1.0,"602 E 187th St, Bronx, NY 10458-6724"
Bocelli," Italian, Vegetarian Friendly",4.5,94.0,"We have been here a few times. It tends to be a hit or miss. Never really consistent. They ran out of the wine we were drinking. Pear salad on the menu, but no pears. Rest of the food and service was ok...not great.",+1 718-420-6150,4.0,"1250 Hylan Blvd, Staten Island, NY 10305-1943"
Three Sister's Cafe," American, Vegetarian Friendly",4.0,282.0,Had very good breakfasts here during my stay at the hotel. Staff was friendly and food was good. The breakfast buffet wasn’t much of anything but in a pinch it was Just ok.,+1 877-873-6322,2.5,"310 4th St, Niagara Falls, NY 14303-1242"
San Carlo Osteria Piemonte," Italian, Mediterranean, Vegetarian Friendly",4.5,695.0,Was greatly pleased by this discovery in Soho. The staff is great and the food more than incredible plus a good selection of wine makes this a pleasant place to eat.,+1 212-625-1212,2.5,"90 Thompson St, New York City, NY 10012-3744"
Arepa Lady," Latin, Spanish, South American",4.5,32.0,This is a wonderful restaurant for arepas. We enjoyed every bite! The service was good and the restaurant is small and inviting.,+1 347-730-6124,1.0,"7702 Roosevelt Ave, Jackson Heights, NY 11372-6612"
Broadway Bagel," American, Cafe, Vegetarian Friendly",4.5,230.0,Very delicious egg & cheese bagel at a very good price. Also try the brownie. It’s worth it for sure :),+1 212-662-0231,1.0,"2658 Broadway, New York City, NY 10025-5023"
Smoke Jazz Club," American, Vegetarian Friendly, Gluten Free Options",4.0,544.0,"Booked here for restaurant week whilst in NYC and got an expensive taxi out from midtown to visit, very disappointed to find that despite it saying clearly online on restaurant week that there was no music charge on Monday we were told before even getting...More",+1 212-864-6662,2.5,"2751 Broadway, New York City, NY 10025-2803"
Chef's," Italian, Vegetarian Friendly, Vegan Options",4.0,829.0,The place has been around since I was a child. That said I never quite cared for their sauce. Most everyone goes there for their Spaghetti Parm. I like to go on a Thursday for their Veal Scallopini which is the best in the area....More,+1 716-856-9187,2.5,"291 Seneca St, Buffalo, NY 14204-2011"
Ithaca Ale House," American, Bar, Pub",4.0,463.0,"We travel a bit, and we like to explore local breweries/Ale houses in whatever area we are in.  Basically, the locals are going to know what is good!!!  No exception here - the Ithaca Ale House has a great selcetion of local beers, as well...More",+1 607-256-7977,2.5,"111 N Aurora St, Ithaca, NY 14850-4301"
Turkish Cuisine," Mediterranean, Middle Eastern, Turkish",4.0,48.0,"They always serve authentic, delicious food: try every dish and you will not be disappointed with any of them.",+1 914-683-6111,2.5,"116 Mamaroneck Ave, White Plains, NY 10601-5201"
Sushi Tei Restaurant," Japanese, Sushi, Asian",4.5,91.0,I started going to Sushi Tei just after it opened.  They have the best food and always have specials to add to their menu.,+1 518-218-0388,2.5,"1800 Western Ave, Albany, NY 12203-4650"
Lenny's Clam Bar & Restaurant," Italian, Seafood, Gluten Free Options",4.0,225.0,"We had a layover in New York our bartender at our hotel highly recommended Lenny’s clam bar & Restaurant. He told us we would not go wrong. I had the CHICKEN OREGANATA which was delicious, i was given the choice of potato and veggie or...More",+1 718-845-5100,2.5,"16103 Crossbay Blvd, Howard Beach, NY 11414-3442"
Jungsik," Asian, Korean, Gluten Free Options",4.5,272.0,"Instead of going for the full tasting menu we came here to enjoy their dessert only tasting menu. Understandably, this is served in the bar rather than in the main dining area. Despite this, the service - of both the food and wine - was...More",+1 212-219-0900,4.0,"2 Harrison St, New York City, NY 10013-2810"
The Marketside," American, Cafe, Diner",4.5,130.0,"Took a moment to find but when we did, we were very pleased with everything.  Excellent service, excellent food (we're a 2 out of 3 vegan family) and the choices were great.  Our server was wonderful and the owner came by twice - once to...More",+1 716-282-0644,1.0,"712 E Market St, Niagara Falls, NY 14301-2240"
J. Dominick's Trattoria," Italian, Gluten Free Options",4.0,130.0,"We took the family out for a late dinner. This restaurant keeps improving on itself every time we dine here.
The service, food and drinks were well above the norm for dining in Dutchess county.
Bravo to the whole staff and management.
It was so...More",+1 845-486-9400,2.5,"779 Dutchess Tpke, Poughkeepsie, NY 12603-2057"
Jackson Hole," Greek, American, Vegetarian Friendly",4.5,167.0,Wow one the best burgers in the world with a variety of food to chose from the menu plus the shakes are to die for.,+1 718-204-7070,2.5,"69_35 Astoria Boulevard, East Elmhurst, NY 11370"
The Heights Restaurant and H Bar," American, Vegetarian Friendly, Vegan Options",4.5,283.0,"My son and I recently visited the heights for lunch. We ordered a cup of tomato, chipotle soup each. It was excellent with surprising flavors in every spoonful. We are both celiacs and found the staff very amenable to alter any dish to accommodate us....More",+1 607-257-4144,4.0,"903 Hanshaw Rd, Ithaca, NY 14850-1530"
Obao," Vietnamese, Fusion, Vegetarian Friendly",4.5,349.0,Cery good Vietnamese food with affordable prices. New York in a pocket . I will be back very soo. Thank you!,+1 212-308-5588,2.5,"222 E 53rd Street, New York City, NY 10022-5205"
Piccola Cucina Estiatorio," Italian, Seafood, Mediterranean",4.5,166.0,"Everything is good. The food, the ambiance, the service and the location. The burrata and the octopus are specially good.",+1 646-781-9183,2.5,"75 Thompson St, New York City, NY 10012-4345"
Top of The Falls Restaurant," American, Vegetarian Friendly, Vegan Options",4.0,747.0,"Not only does the view make this place but the food is amazing. Our server,, was very informative about the menu and had excellent recommendations.  As for drinks, she said the Hurricane and Iced Tea were her favs so we ordered one of each of...More",+1 716-278-0340,2.5,"Goat Island, Niagara Falls, NY 14303"
Red's Place," American, Bar, Pub",4.0,134.0,"Ithaca has a lot of competition when it comes to restaurants, especially, in the downtown area including the commons and restaurant row. So, people have to put out a quality product and dining experience to make things go. Our first experience at Red's Place was...More",+1 607-319-4486,2.5,"107 N Aurora St, Ithaca, NY 14850-4301"
Naruto Ramen," Japanese, Asian, Soups",4.5,190.0,"Good service, satisfying food. Space is cramped, but they serve good value for money. It’s amusing to watch the chefs preparing the meals too. Not the best choice if you’re coming as a big group—it’ll be hard to converse with each other as only bar...More",+1 212-289-7803,1.0,"1596 3rd Ave, New York City, NY 10128-3417"
Betty's," American, Vegetarian Friendly, Vegan Options",4.5,372.0,Stopped here on the drive back home from Niagara. They had an excellent brunch menu and so happy they had vegan options.,+1 716-362-0633,2.5,"370 Virginia St, Buffalo, NY 14201-1952"
Coltivare," American, Vegetarian Friendly, Vegan Options",4.0,186.0,"(Daughter)I ordered a mocktail (I'm not old enough to drink alcohol) while having dinner with my family. We are trying to go zero waste, so when the it came out and there was a straw in it, I got really upset. But as I was...More",+1 607-882-2333,2.5,"235 S Cayuga St, Ithaca, NY 14850-5509"
Sri Siam," Asian, Thai, Vegetarian Friendly",4.5,94.0,"We've eaten here a few times and gotten take out numerous times over the years.  We've never been disappointed.  Occasionally we will order something different but 4 out of 5 times we both order the Mango curry dishes.  For me, chicken or pork and for...More",518-915-1655,2.5,"44 Sherwood Ave, Rensselaer, NY 12144-3321"
Rory Dolan's Restaurant," Irish, Italian, American",4.5,247.0,"The food here just frankly is over prepared.  If I want to use salt I'll put it on myself.  I love Irish pubs, but between the service being substandard and an odd situation with a gift card we won't be back and we were bribed...More",+1 914-776-2946,2.5,"890 McLean Ave, Yonkers, NY 10704-4102"
Allen Burger Venture," American, Bar, Pub",4.5,166.0,"We stopped in on a busy night and were lucky enough to get seated just before it got crowded. The food was very good and the server was pleasant, however it took a long time to get our food. I would try it again to...More",+1 716-768-0386,2.5,"175 Allen St, Buffalo, NY 14201-1515"
Toutant," American, Cajun & Creole, Vegetarian Friendly",4.5,197.0,"My wife and I ate hear before a Sheas performance. We ordered a number of sides, maybe that was our mistake. We ordered cornbread, hush puppies, collard greens, biscuits and burnt ends. There wasn’t anything that I would want to order again.",+1 716-342-2901,2.5,"437 Ellicott St, Buffalo, NY 14203-1519"
Dutch Kills Centraal," American, Bar, Gastropub",4.0,618.0,"Top-notch food, best-in-class cocktails, and a really delightful staff!  Ashley & Maddie were simply wonderful and the owners are just so welcoming!  Definitely a spot to which I’ll return!",+1 718-606-8651,2.5,"3840 29th St, Long Island City, NY 11101-2715"
Dirt Candy," American, Vegetarian Friendly, Vegan Options",4.5,353.0,This was truly the worst meal we've ever eaten (4 of us dined this evening). We stopped for a slice of pizza on the way home so that we could have something edible. Cauliflower ice cream? Are you serious? Each dish that came made us...More,+1 212-228-7732,2.5,"86 Allen St, New York City, NY 10002-3014"
Buenos Aires," Steakhouse, Latin, Argentinean",4.5,424.0,"In a city with thousands of places to eat, few are worth the trouble and cost of eating out. Even in NYC, having a great dining experience is not obvious.  Buenos Aires delivers on all expectations- every time.  I've been eating here since it opened...More",+1 212-228-2775,2.5,"513 E 6th St, New York City, NY 10009-6621"
SoleLuna," Italian, Mediterranean, Vegetarian Friendly",4.5,89.0,"Two couples  -  Valerio, a restaurateur from Milan, Italy, his wife Michele from Venezuela and Gina and Francesca, also restaurateurs from Cisternino, a small village in the heart of Puglia, Italy - came together in a partnership and opened two restaurants in Queens. This one...More",+1 929-296-3942,2.5,"4001 Queens Blvd, Sunnyside, NY 11104-3301"
Boca Bistro," Bar, Spanish, Vegetarian Friendly",4.5,605.0,"I love it!  When you walk in you are greeted by 10 metal pigs, paying homage to Spanish cuisine’s affinity for this special animal. The food is great, featuring strong takes and riffs on classics like patatas bravo and, of course, chorizo and other incarnations...More",518-682-2800,2.5,"384 Broadway, Saratoga Springs, NY 12866-3123"
Mei Jin Ramen," Japanese, Soups, Asian",4.5,144.0,Good ramens (but soup was a bit too oily/fatty) with delicious gyozas. Atmosphere of the restaurant is ok.,+1 212-327-2800,2.5,"1574 2nd Ave, New York City, NY 10028-2617"
A Touch of Naples Pizza & Pasta," Italian, Pizza",5.0,22.0,This is a family operated gem. They make the best pizza in the entire region. You would probably have to go to White Plains or Albany to find pizza that could even come close. You are not doing yourself any favors if you get your...More,+1 845-473-5744,1.0,"389 Violet Ave, Poughkeepsie, NY 12601-1054"
Decoy Bar," Chinese, Asian",4.5,188.0,"Des what a legend!!!!

What this lady doesn’t know about cocktails is not work knowing. We sat at the bar she made us feel very comfortable throughout our dinner/drinks and made sure we was OK. The duck was amazing aswell best we have ever eating...More",+1 212-691-9700,2.5,"529 1/2 Hudson St, New York City, NY 10014-2601"
White Bear," Asian, Chinese, Fast Food",4.5,30.0,"This meal hits the spot on a cold day! Delicious 😋 
Call ahead and just pick up and enjoy this quick bite!",+1 718-961-2322,1.0,"13502 Roosevelt Ave, Flushing, NY 11354-5343"
Tully's Good Times Erie Blvd," American, Bar, Pub",4.0,217.0,Service at front desk exceptional. Wait service average and food was good but pub style. We went for lunch so pub style was fine. At night our group decided on another place since we were from Boston College which had just beaten Syracuse and Tully’s...More,+1 315-449-9339,2.5,"2943 Erie Blvd East, Syracuse, NY 13224"
Patrizia's Of Staten Island," Italian, Vegetarian Friendly, Vegan Options",4.0,301.0,"I’ve been hearing about Patrizia’s in Williamsburg, Brooklyn for years so when a friend suggested we meet at the S.I. location (they live there) we jumped! 

Where to start? The outside was filled with clusters of rude guests... obviously waiting for a table. In the...More",+1 718-317-6600,2.5,"4255 Amboy Rd, Staten Island, NY 10308-2308"
John's Coffee Shop," American, Cafe, Diner",4.5,210.0,"Great place, nice people.  I had an egg white, American cheese and potato egg sandwich which was delicious but I thought it was a bit pricey $9.  My boyfriend had an omelet and potatoes which was awesome.  Will visit again when in the city.  Quick...More",+1 212-867-4955,1.0,"823 2nd Ave, New York City, NY 10017-4501"
The Artist's Palate," American, Contemporary, Vegetarian Friendly",4.5,396.0,Tuesday at 7:30 and not a soul I’m the joint. Hostess was also bartender AND waitress!! Food arrives cold. We were the only TWO people in the restaurant besides the2 cooks. HOW could the masked potato’s be cold?,+1 845-483-8074,4.0,"307 Main St, Poughkeepsie, NY 12601-3116"
Cosimo's Trattoria & Bar," Italian, Pizza, Vegetarian Friendly",4.0,243.0,"I love this place.  Great food, great environment, good location, BOCCE ball court too!  Cosimo's never disappointed me and my go to was the Fig Prosciutto flatbread.",+1 845-485-7172,2.5,"120 Delafield St, Poughkeepsie, NY 12601-1752"
Delmonico's Italian Steakhouse," Italian, American, Vegetarian Friendly",4.5,684.0,"Best tasting sauce and their veal parm is on the money. Might be a bit of a waiting line, but well worht the wait.",+1 518-456-5656,2.5,"1553 Central Ave, Albany, NY 12205-5044"
Yard House," American, Bar, Pub",4.0,292.0,"Never had any problems.  Love the chicken nacho dish, it's for 2 people.  The selection of liquor is over the top.",+1 914-375-9273,2.5,"237 Market St, Yonkers, NY 10710-7608"
Genesee Brew House," American, Bar, Pub",4.5,807.0,In fact the menu is pretty broad. I saw several varieties of mac’n cheese being enjoyed. The view of the High Falls on the Genesee River is terrific. Head out to the long balcony for the best views.,+1 585-263-9200,2.5,"25 Cataract St., Rochester, NY"
