name,price,rating,review_count,cuisine,categories,address,display_phone
Amano Sushi,2,4.0,53,Japanese,"['japanese', 'sushi', 'salad']","50 Eldridge St, Little Italy, NY 10002",(212) 301-0723
Amaranth Restaurant,3,3.0,92,French,['mediterranean'],"21 E 62nd St, Upper East Side, NY 10021",(212) 980-6700
Amarone NY,2,4.0,317,Italian,"['italian', 'seafood']","686 9th Ave, Midtown West, NY 10036",(212) 245-6060
Amata,3,4.5,83,Italian,['italian'],"209 E 56th St, Midtown East, NY 10022",(212) 308-0830
Amaze,2,3.0,266,Asian,"['lounges', 'asianfusion', 'pubs']","694 3rd Ave, Midtown East, NY 10017",(212) 986-5555
Amazing 66,2,3.5,281,Chinese,['cantonese'],"66 Mott St, Little Italy, NY 10013",(212) 334-0099
Amber,2,4.0,110,Chinese/Japanese,"['japanese', 'sushi', 'asianfusion']","103 W 70th St, East Harlem, NY 10023",(212) 799-8122
Flame Hibachi,2,4.0,138,Japanese,"['dimsum', 'teppanyaki']","381 3rd Ave, Gramercy, NY 10016",(917) 265-8772
Ambo,2,4.0,122,Indian,"['indpak', 'gluten_free', 'salad']","224 W 35th St, Garment District, NY 10001",(646) 476-4214
Amélie,2,4.5,1000,French,"['french', 'wine_bars']","22 W 8th St, Midtown West, NY 10011",(212) 533-2962
American Trash,1,3.5,109,American,"['sportsbars', 'pubs', 'hotdog']","1471 1st Ave, Upper East Side, NY 10021",(212) 988-9008
American Cut Steakhouse Tribeca,4,4.0,586,Steak,"['steak', 'newamerican', 'venues']","363 Greenwich St, Tribeca, NY 10013",(212) 226-4736
American Retro,2,4.0,208,American,['newamerican'],"714 11th Ave, Midtown West, NY 10019",(212) 245-2203
American Whiskey,2,3.5,325,American,"['newamerican', 'cocktailbars', 'sportsbars']","247 W 30th St, Garment District, NY 10001",(212) 967-1070
American Wing Company,2,4.0,24,Chicken,['chicken_wings'],"159 E 116th St, East Harlem, NY 10029",(646) 370-6640
Amity Hall,2,3.5,408,American,"['sportsbars', 'newamerican', 'gastropubs']","80 W 3rd St, Greenwich Village, NY 10012",(212) 677-2290
Amity Hall Uptown,2,4.0,192,American,"['tradamerican', 'burgers', 'pubs']","982 Amsterdam Ave, East Harlem, NY 10025",(646) 930-2501
Amma,3,4.0,510,Indian,['indpak'],"246 E 51st St, Midtown East, NY 10022",(212) 644-8330
Ammos Estiatorio,3,3.0,267,Greek,"['greek', 'seafood']","52 Vanderbilt Ave, Midtown East, NY 10017",(212) 922-9999
Amor Cubano,2,4.0,492,Latin,['cuban'],"2018 3rd Ave, Midtown West, NY 10029",(212) 996-1220
Ampersand,2,4.5,214,American,"['cocktailbars', 'newamerican']","294 3rd Ave, Midtown West, NY 10010",(212) 477-8100
Amsterdam Ale House,2,3.0,370,American,"['pubs', 'newamerican']","340 Amsterdam Ave, Upper West Side, NY 10024",(212) 362-7260
Amura Japanese,2,4.0,319,Japanese,"['japanese', 'sushi']","1567 2nd Ave, Upper East Side, NY 10028",(212) 772-1688
Amuse Bouche Bistro,2,5.0,4,Café/Coffee/Tea,"['breakfast_brunch', 'french']","1590 Park Ave, East Harlem, NY 10029",(917) 710-3111
Amy Ruth's,2,4.0,1000,Soul Food,"['southern', 'soulfood']","113 W 116th St, East Harlem, NY 10026",(212) 280-8779
An'Nam,2,4.0,295,Vietnamese/Cambodian/Malaysia,"['vietnamese', 'sushi', 'thai']","234 W 48th St, Midtown West, NY 10036",(212) 247-8318
Anand Indian Cuisine,2,4.0,132,Indian,['indpak'],"304 E 78th St, Upper East Side, NY 10075",(212) 650-0333
Ananda,2,4.0,300,Indian,"['indpak', 'vegetarian', 'kosher']","210 Thompson St, Greenwich Village, NY 10012",(212) 533-7290
Anassa Taverna NYC,3,3.5,306,American,"['greek', 'seafood', 'mediterranean']","200 E 60th St, East Harlem, NY 10022",(212) 371-5200
Farah Anatolia,2,3.5,194,Mediterranean,"['mediterranean', 'turkish', 'halal']","401 E 62nd St, Upper East Side, NY 10065",(212) 223-7500
Anchor Wine Bar,2,4.0,284,Italian,"['italian', 'wine_bars']","3508 Broadway, East Harlem, NY 10031",(212) 234-3084
Andaman Thai Bistro,2,4.0,149,Thai,['thai'],"1843 1st Ave, East Harlem, NY 10128",(212) 722-5671
Andy's Restaurant,1,4.0,26,Latin,['tradamerican'],"2262 3rd Ave, East Harlem, NY 10035",(212) 860-2614
Anejo,2,3.5,682,Mexican,"['mexican', 'tapasmallplates']","668 10th Ave, Midtown West, NY 10036",(212) 920-4770
Anejo Tribeca,2,4.0,402,Mexican,"['mexican', 'tapasmallplates', 'tapas']","301 Church St, Greenwich Village, NY 10013",(212) 920-6270
Angaar,2,4.5,102,Indian,['indpak'],"283 Columbus Ave, East Harlem, NY 10023",(212) 393-4040
Angela's Sandwich Shop,1,4.0,216,Delicatessen,"['delis', 'diners']","1428 6th Ave, Midtown West, NY 10019",(212) 759-5344
Angeletto Restaurant,2,4.5,208,Italian,['italian'],"890 2nd Ave, Midtown West, NY 10017",(212) 235-1227
Angelika Film Center & Café - New York,2,3.5,474,American,"['movietheaters', 'cafes']","18 W. Houston St., SoHo, NY 10012",(212) 995-2570
Angelo's Pizza,2,3.5,495,Pizza,"['pizza', 'italian']","1697 Broadway, Midtown West, NY 10019",(212) 245-8811
Angelo's Coal Oven Pizzeria,2,4.0,884,Pizza,"['pizza', 'italian']","117 W 57th St, Midtown West, NY 10019",(212) 333-4333
Anjappar Chettinad Restaurant,2,3.0,310,Indian,['indpak'],"116 Lexington Ave, Gramercy, NY 10016",(212) 265-3663
Annie Moore's Bar & Restaurant,2,4.0,97,American,"['tradamerican', 'irish_pubs']","22 E 41st St, Midtown East, NY 10017",(212) 986-7826
Anpanman Bakery Cafe,1,4.0,32,Chinese,"['bakeries', 'chinese']","83 Canal St, Little Italy, NY 10002",(212) 343-8077
Antica Ristorante,2,3.5,47,American,['italian'],"370 Canal St, SoHo, NY 10013",(646) 439-2460
Antica Ristorante,3,4.5,500,Italian,['italian'],"8 Stone St, Chinatown, NY 10004",(212) 480-3880
Antique Garage Soho,2,3.5,415,Mediterranean,"['lounges', 'mediterranean', 'turkish']","41 Mercer St, Little Italy, NY 10013",(212) 219-1019
Antique Garage Tribeca,3,4.0,100,Turkish,"['mediterranean', 'turkish']","313 Church St, Chinatown, NY 10013",(212) 226-0066
Antojitos Mexicanos,1,4.0,20,Spanish,['mexican'],"511 West 181st St, Harlem, NY 10033",(212) 568-8800
Antonucci Cafe,3,4.0,141,Italian,"['italian', 'cafes']","170 E 81st St, Upper East Side, NY 10028",(212) 570-5100
Anytime,2,4.5,1000,Korean,"['korean', 'newamerican', 'tapasmallplates']","23 W 32nd St, Midtown West, NY 10001",(646) 669-7733
Anyway Cafe,2,4.0,226,Russian,['russian'],"32 E 2nd St, Greenwich Village, NY 10003",(212) 533-3412
AOC East,2,4.0,138,French,"['wine_bars', 'french', 'seafood']","1590 First Ave, East Harlem, NY 10028",(646) 998-5749
Palma,3,4.0,717,American,['italian'],"28 Cornelia St, Midtown West, NY 10014",(212) 691-2223
Palma,3,4.0,717,Italian,['italian'],"28 Cornelia St, Midtown West, NY 10014",(212) 691-2223
Applebee's Grill + Bar,2,2.0,479,American,"['tradamerican', 'burgers', 'sportsbars']","234 W 42nd St, Garment District, NY 10036",(212) 391-7414
Applebee's Grill + Bar,2,2.5,140,American,"['sportsbars', 'burgers', 'tradamerican']","509 East 117th St, East Harlem, NY 10035",(646) 896-2700
Aquavit,4,4.0,747,Scandinavian,['scandinavian'],"65 E 55th St, Upper East Side, NY 10022",(212) 307-7311
Arabesque,2,3.5,410,Mediterranean,"['mediterranean', 'moroccan', 'hookah_bars']","4 E 36th St, Midtown East, NY 10016",(212) 532-2210
Arby's,1,3.0,96,Sandwiches,"['hotdogs', 'sandwiches']","611 8th Ave, Garment District, NY 10018",(212) 273-0850
Archer & Goat,2,4.5,93,American,"['newamerican', 'cocktailbars', 'breakfast_brunch']","187 Lenox Ave, East Harlem, NY 10026",(917) 261-6602
Arco Cafe,2,4.5,262,Italian,"['italian', 'mediterranean', 'seafood']","886 Amsterdam Ave, East Harlem, NY 10025",(646) 781-9080
Ardesia Wine Bar,2,4.0,364,American,"['wine_bars', 'tapasmallplates', 'cocktailbars']","510 W 52nd St, Midtown West, NY 10019",(212) 247-9191
Areppas,1,3.5,173,Latin,"['latin', 'vegan', 'gluten_free']","954 3rd Ave, Midtown East, NY 10022",(212) 355-3656
Areppas Soho,2,3.5,31,Latin,"['latin', 'gluten_free', 'empanadas']","25 Cleveland Pl, Little Italy, NY 10012",(646) 918-6823
Aria Wine Bar,3,3.5,408,Italian,"['italian', 'wine_bars']","369 51st St, Midtown West, NY 10019",(212) 541-9241
Ariana Afghan Kebab Restaurant,2,4.0,486,Afghan,"['afghani', 'halal', 'kebab']","787 9th Ave, Midtown West, NY 10019",(212) 262-2323
Harold's,2,3.5,147,American,"['breakfast_brunch', 'tradamerican']","2 Renwick St, SoHo, NY 10013",(212) 390-8484
Harold's,2,3.5,147,American,"['breakfast_brunch', 'tradamerican']","2 Renwick St, SoHo, NY 10013",(212) 390-8484
Armani Ristorante,3,4.0,234,Italian,['italian'],"717 5th Ave, Midtown East, NY 10022",(212) 207-1902
Armonie,2,4.0,107,Italian,"['pizza', 'italian', 'hotdogs']","1649 Park Ave, East Harlem, NY 10035",(212) 722-6400
Arno Ristorante,3,3.5,216,Italian,"['italian', 'wine_bars']","141 W 38th St, Midtown West, NY 10018",(212) 944-7420
Aroma Trattoria,2,4.5,60,Italian,"['italian', 'wine_bars', 'pastashops']","932 8th Ave, Midtown West, NY 10019",(212) 781-3008
aRoqa,2,4.0,281,Indian,"['indpak', 'bars', 'tapasmallplates']","206 9th Ave, Midtown West, NY 10011",(646) 678-5471
Aroy Dee Thai Kitchen,2,3.5,399,Thai,['thai'],"20 John St, Financial District, NY 10038",(212) 528-9922
New Ah Ping Snacketeria,1,4.0,13,Chinese,['chinese'],"45 Division St, Chinatown, NY 10002",(212) 966-6688
New Arping Restaurant,2,5.0,5,Chinese,['chinese'],"45 Division St, Chinatown, NY 10002",(212) 966-6688
Arriba Arriba Midtown,2,3.5,895,Mexican,"['tacos', 'tex-mex', 'newmexican']","762 9th Ave, Midtown West, NY 10019",(212) 489-0810
Arte Cafe,2,3.0,587,Italian,"['italian', 'burgers', 'wine_bars']","106 W 73rd St, Upper West Side, NY 10023",(212) 501-7014
Arte Cafe,2,4.0,80,Italian,"['italian', 'wine_bars', 'pizza']","191 7th Ave, Gramercy, NY 10011",(646) 858-3300
Arte Restaurant,3,3.5,95,Italian,"['italian', 'seafood', 'cocktailbars']","21 E 9th St, Greenwich Village, NY 10003",(212) 473-0077
Artichoke Basille's Pizza,1,4.0,1000,Pizza,['pizza'],"321 E 14th St, Greenwich Village, NY 10003",(212) 228-2004
Artichoke Basille’s Pizza,2,3.0,14,Pizza,['pizza'],"1410 Broadway, Midtown West, NY 10018",(212) 600-8635
Artichoke Basille's Pizza,2,3.5,1000,Pizza/Italian,"['italian', 'pizza']","114 10th Ave, Upper West Side, NY 10011",(212) 792-9200
Artichoke Basille's Pizza,1,3.5,888,Pizza,['pizza'],"111 MacDougal St, Greenwich Village, NY 10012",(646) 278-6100
Artistic Pizza,2,4.5,51,Pizza,"['pizza', 'vegan', 'gluten_free']","123 W 3rd St, Greenwich Village, NY 10012",(917) 261-5435
Bar Veloce,2,3.5,17,Pizza,"['wine_bars', 'italian', 'beerbar']","862 9th Ave, Hells Kitchen, NY 10019",(917) 261-5435
The New York Basics,1,3.5,22,Mediterranean,"['cafes', 'breakfast_brunch']","1090 Amsterdam Ave, Morningside Heights, NY 10025",(212) 666-3744
Arturo's,2,4.0,682,Italian,"['pizza', 'italian']","106 W Houston St, Greenwich Village, NY 10012",(212) 677-3820
Arturo's,3,4.0,69,Italian,['italian'],"1617 York Ave, Upper East Side, NY 10028",(212) 535-4480
As Is NYC,2,4.0,212,American,"['beerbar', 'newamerican']","734 10th Ave, Midtown West, NY 10019",(646) 858-1153
Ashoka Indian Restaurant,2,4.5,246,Indian,['indpak'],"489 Columbus Ave, East Harlem, NY 10024",(212) 875-1400
Ashoka on 2nd Avenue,2,4.5,144,Indian,['indpak'],"1718 2nd Ave, East Harlem, NY 10128",(212) 876-9100
Asiam Thai Cuisine,2,3.5,210,Thai,['thai'],"259 1st Ave, Gramercy, NY 10003",(212) 228-7880
Asian Taste,2,4.0,15,Asian,['chinese'],"199 E 3rd St, East Village, NY 10009",(646) 596-9595
ASSET,1,4.0,60,Other,"['newamerican', 'breakfast_brunch', 'cocktailbars']","329 Columbus Ave, Harlem, NY 10023",(212) 517-1987
Asuka Sushi,2,4.0,951,Japanese,"['japanese', 'thai', 'cocktailbars']","300 W 23rd St, Garment District, NY 10011",(212) 727-0888
At Nine Restaurant & Bar,2,4.0,487,Thai,"['thai', 'bars']","592 9th Ave, Midtown West, NY 10036",(212) 265-4499
Atami Japanese Fusion,2,4.0,141,Japanese,"['japanese', 'sushi', 'asianfusion']","1167 2nd Ave, Upper East Side, NY 10065",(212) 688-6868
Atera,4,4.5,259,American,['newamerican'],"77 Worth St, Chinatown, NY 10013",(212) 226-1444
Atlantic Grill,3,3.5,581,American,"['newamerican', 'seafood', 'sushi']","49 W 64th St, Upper West Side, NY 10023",(212) 787-4663
Atlas Kitchen,2,4.0,113,Chinese,['chinese'],"258 W 109th St, East Harlem, NY 10025",(646) 928-0522
Atoboy,3,4.5,364,Asian,"['korean', 'tapasmallplates', 'asianfusion']","43 E 28th St, Midtown West, NY 10016",(646) 476-7217
Atomic Wings,2,3.0,104,American,['chicken_wings'],"184 1st Ave, Gramercy, NY 10009",(212) 774-9464
Au Jus,2,4.0,227,American,"['sandwiches', 'salad', 'diners']","1762 1st Ave, East Harlem, NY 10128",(646) 476-3580
Au Jus,1,4.5,20,Barbecue,"['bbq', 'breakfast_brunch', 'comfortfood']","1569 Lexington Ave, East Harlem, NY 10029",(212) 360-7200
Au Jus,1,3.5,14,Other,"['salad', 'bbq', 'sandwiches']","2621 Broadway, Harlem, NY 10025",(917) 675-7612
Au Za'atar,2,4.0,873,American,"['wine_bars', 'lebanese', 'mediterranean']","188 Avenue A, Midtown West, NY 10009",(212) 254-5660
August,3,3.5,164,American,"['tradamerican', 'cocktailbars']","791 Lexington Ave, Upper East Side, NY 10065",(212) 935-1433
August Gatherings,3,3.5,249,Chinese,['cantonese'],"266 Canal St, Little Italy, NY 10013",(212) 274-1535
Aunt Jake's,2,4.0,1000,Italian,"['italian', 'wine_bars', 'pastashops']","133 Mulberry St, Greenwich Village, NY 10013",(646) 858-0470
